"","id","wave","person_id","gender","edu","age","ethn","state","interest_pol_1","interest_pol_2","follow_1","follow_2","party","ideo","party_imp","partisan","approve_trump","att_immigrant_1","att_immigrant_2","att_immigrant_3","att_immigrant_4","att_immigrant_5","att_assault_1","att_assault_2","att_assault_3","att_assault_4","att_gun_1","att_gun_2","att_gun_3","att_gun_4","att_gun_5","att_musl_1","att_musl_2","att_musl_3","att_musl_4","ft_dem_supporters","ft_rep_supporters","negtrait_dem_1","negtrait_dem_2","negtrait_rep_1","negtrait_rep_2","socdis_dem_1","socdis_dem_2","socdis_dem_3","socdis_dem_4","socdis_rep_1","socdis_rep_2","socdis_rep_3","socdis_rep_4","visits_u","day_range","active_days","count_domains","page_center","page_left","page_right","domain_center","domain_left","domain_right","page_center_mean","page_left_mean","page_right_mean","domain_center_mean","domain_left_mean","domain_right_mean","page_center_perc","page_left_perc","page_right_perc","domain_center_perc","domain_left_perc","domain_right_perc","att_immigrant_1_fold","att_immigrant_2_fold","att_immigrant_3_fold","att_immigrant_4_fold","att_immigrant_5_fold","att_assault_1_fold","att_assault_2_fold","att_assault_3_fold","att_assault_4_fold","att_gun_1_fold","att_gun_2_fold","att_gun_3_fold","att_gun_4_fold","att_gun_5_fold","att_musl_1_fold","att_musl_2_fold","att_musl_3_fold","att_musl_4_fold","att_immigrant_fold","att_gun_fold","att_musl_fold","att_assault_fold","att_extr","ap_ft","ap_nt_1","ap_nt_2","ap_sd_1","ap_sd_2","ap_sd_3","ap_sd_4","ap_nt","ap_sd","att_immigrant_1_fold_r","att_immigrant_2_fold_r","att_immigrant_3_fold_r","att_immigrant_4_fold_r","att_immigrant_5_fold_r","att_assault_1_fold_r","att_assault_2_fold_r","att_assault_3_fold_r","att_assault_4_fold_r","att_gun_1_fold_r","att_gun_2_fold_r","att_gun_3_fold_r","att_gun_4_fold_r","att_gun_5_fold_r","att_musl_1_fold_r","att_musl_2_fold_r","att_musl_3_fold_r","att_musl_4_fold_r","att_immigrant_fold_r","att_gun_fold_r","att_musl_fold_r","att_assault_fold_r","att_extr_r","ap_ft_r","ap_nt_1_r","ap_nt_2_r","ap_sd_1_r","ap_sd_2_r","ap_sd_3_r","ap_sd_4_r","ap_nt_r","ap_sd_r","domain_congenial_mean","domain_congenial_perc","domain_cross_mean","domain_cross_perc","page_congenial_mean","page_congenial_perc","page_cross_mean","page_cross_perc","count_domains_ln","page_center_ln","page_left_ln","page_right_ln","domain_center_ln","domain_left_ln","domain_right_ln","page_center_mean_ln","page_left_mean_ln","page_right_mean_ln","domain_center_mean_ln","domain_left_mean_ln","domain_right_mean_ln","page_center_perc_ln","page_left_perc_ln","page_right_perc_ln","domain_center_perc_ln","domain_left_perc_ln","domain_right_perc_ln","domain_congenial_mean_ln","domain_congenial_perc_ln","domain_cross_mean_ln","domain_cross_perc_ln","page_congenial_mean_ln","page_congenial_perc_ln","page_cross_mean_ln","page_cross_perc_ln"
"1","1",1,"10-bitter-weasels-jumped-correctly","Female","Graduate degree","65+","Non-Hispanic White","Pennsylvania ","6","7 Very interested","6","7 Very closely","Independent, lean toward Democrat","4","Democrat",1,"Strongly disapprove",1,1,1,1,1,1,2,3,3,1,7,7,5,1,2,2,2,2,75,35,"Strongly disagree","Somewhat agree","Agree","Strongly agree","1 Very comfortable","1 Very comfortable","1 Very comfortable","1 Very comfortable","4 Moderate","3","4 Moderate","3",73381,91,91,276,16,2,2,38,2,2,0.175824175824176,0.021978021978022,0.021978021978022,0.417582417582418,0.021978021978022,0.021978021978022,0.000218040092121939,2.72550115152424e-05,2.72550115152424e-05,0.000517845218789605,2.72550115152424e-05,2.72550115152424e-05,3,3,3,3,3,3,2,1,1,3,3,3,1,3,2,2,2,2,3,2.6,2,1.75,2.3375,65,6,7,4,3,4,3,6.5,3.5,100,100,100,100,100,100,66.6666666666667,33.3333333333333,33.3333333333333,100,100,100,33.3333333333333,100,66.6666666666667,66.6666666666667,66.6666666666667,66.6666666666667,100,86.6666666666667,66.6666666666667,58.3333333333333,77.9166666666667,65,71.4285714285714,85.7142857142857,42.8571428571429,28.5714285714286,42.8571428571429,28.5714285714286,78.5714285714286,35.7142857142857,0.021978021978022,2.72550115152424e-05,0.021978021978022,2.72550115152424e-05,0.021978021978022,2.72550115152424e-05,0.021978021978022,2.72550115152424e-05,60.2182327111124,34.7404971386141,14.2380782139917,16.5101759440564,44.1709635835334,14.2209107348935,13.5735583417449,4.41330740957628,0.670060881386832,0.759716291114389,9.16984185158386,0.668216104320741,0.510619298664435,0.161461611895403,0.00542821697118599,0.0275821156232537,0.242996219503106,0.00542821697118599,0.0100513524114315,0.668216104320741,0.00542821697118599,0.510619298664435,0.0100513524114315,0.670060881386832,0.00542821697118599,0.868133209617327,0.0555924609151551
"2","1",2,"10-bitter-weasels-jumped-correctly","Female","Graduate degree","65+","Non-Hispanic White","Pennsylvania ","6","7 Very interested","6","7 Very closely","Independent, lean toward Democrat","4","Democrat",1,"Strongly disapprove",1,1,1,1,1,1,2,2,1,1,7,7,7,1,2,2,1,2,81,0,"Strongly disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","1 Very comfortable","1 Very comfortable","1 Very comfortable","1 Very comfortable","3","4 Moderate","3","1 Very comfortable",55376,83,84,431,32,26,0,55,28,2,0.380952380952381,0.30952380952381,0,0.654761904761905,0.333333333333333,0.0238095238095238,0.000577867668303958,0.000469517480496966,0,0.000993210054897428,0.000505634209765964,3.61167292689974e-05,3,3,3,3,3,3,2,2,3,3,3,3,3,3,2,2,3,2,3,3,2.25,2.5,2.6875,100,5,7,3,4,3,1,6,2.75,100,100,100,100,100,100,66.6666666666667,66.6666666666667,100,100,100,100,100,100,66.6666666666667,66.6666666666667,100,66.6666666666667,100,93.3333333333333,75,83.3333333333333,84.5833333333333,76,57.1428571428571,85.7142857142857,28.5714285714286,42.8571428571429,28.5714285714286,0,71.4285714285714,25,0.333333333333333,0.000505634209765964,0.0238095238095238,3.61167292689974e-05,0.30952380952381,0.000469517480496966,0,0,67.2831949827587,49.6255809890447,43.6557283152666,0,52.4597242540069,44.5991452767343,14.4235870433982,11.5658047222101,8.711252019868,0,14.0987794951828,9.29181576267145,0.747176675435195,0.638449818483603,0.17403512626846,0,0.564457088893262,0.18109961640435,0.0539241300352863,9.13492523042486,0.18109961640435,1.49583256927062,0.0665296343655568,8.711252019868,0.17403512626846,0,0
"3","2",1,"10-early-hares-hopped-quickly","Female","Some graduate school","35-39","Non-Hispanic White","Florida ","6","6","5","4 Moderately","A strong Democrat","0 - Extreme left","Democrat",3,"Strongly disapprove",1,1,1,1,1,1,1,1,1,2,7,5,6,1,1,1,1,1,81,5,"Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","1 Very comfortable","1 Very comfortable","1 Very comfortable","1 Very comfortable","7 Very uncomfortable","7 Very uncomfortable","7 Very uncomfortable","7 Very uncomfortable",2554,15,15,183,1,0,0,1,1,0,0.0666666666666667,0,0,0.0666666666666667,0.0666666666666667,0,0.000391542678151919,0,0,0.000391542678151919,0.000391542678151919,0,3,3,3,3,3,3,3,3,3,2,3,1,2,3,3,3,3,3,3,2.2,3,3,2.8,95,4,4,7,7,7,7,4,7,100,100,100,100,100,100,100,100,100,66.6666666666667,100,33.3333333333333,66.6666666666667,100,100,100,100,100,100,73.3333333333333,100,100,93.3333333333333,95,42.8571428571429,42.8571428571429,85.7142857142857,85.7142857142857,85.7142857142857,85.7142857142857,42.8571428571429,85.7142857142857,0.0666666666666667,0.000391542678151919,0,0,0,0,0,0,52.1653948088182,8.49928145841863,0,0,8.35716219021108,8.97239570552805,0,1.75853253917407,0,0,1.69595391189387,1.98370311327383,0,0.289917457912148,0,0,0.18374099721787,0.0779670038837309,0,1.98370311327383,0.0779670038837309,0,0,0,0,0,0
"4","2",2,"10-early-hares-hopped-quickly","Female","Some graduate school","35-39","Non-Hispanic White","Florida ","6","6","5","4 Moderately","A strong Democrat","0 - Extreme left","Democrat",3,"Strongly disapprove",1,1,1,1,1,1,1,1,1,1,7,6,7,1,1,1,1,1,60,0,"Somewhat disagree","Somewhat agree","Agree","Agree","1 Very comfortable","1 Very comfortable","1 Very comfortable","1 Very comfortable","7 Very uncomfortable","7 Very uncomfortable","7 Very uncomfortable","7 Very uncomfortable",7011,81,82,417,14,0,0,14,0,0,0.170731707317073,0,0,0.170731707317073,0,0,0.0019968620738839,0,0,0.0019968620738839,0,0,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2.8,3,3,2.95,100,6,6,7,7,7,7,6,7,100,100,100,100,100,100,100,100,100,100,100,66.6666666666667,100,100,100,100,100,100,100,86.6666666666667,100,100,93.3333333333333,76,71.4285714285714,71.4285714285714,85.7142857142857,85.7142857142857,85.7142857142857,85.7142857142857,71.4285714285714,85.7142857142857,0,0,0,0,0,0,0,0,66.598050427934,38.4350847852399,0,0,35.2922123904868,0,0,5.64825239913523,0,0,4.41247740792794,0,0,2.20464485634178,0,0,1.13427986678412,0,0,0,0,0,0,0,0,0,0
"5","3",1,"10-hungry-frogs-loitered-carefully","Female","Some graduate school","18-24","Non-Hispanic White","Illinois ","3","3","4 Moderately","4 Moderately","A not very strong Democrat","3","Democrat",2,"Strongly disapprove",1,1,1,1,1,1,1,1,1,1,7,7,7,1,1,1,1,4,70,2,"Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","1 Very comfortable","1 Very comfortable","1 Very comfortable","1 Very comfortable","6","4 Moderate","3","3",12925,91,90,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,2.25,3,2.8125,98,4,1,6,4,3,3,2.5,4,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,75,100,93.75,98,42.8571428571429,0,71.4285714285714,42.8571428571429,28.5714285714286,28.5714285714286,21.4285714285714,42.8571428571429,0,0,0,0,0,0,0,0,65.3774467597752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","3",2,"10-hungry-frogs-loitered-carefully","Female","Some graduate school","18-24","Non-Hispanic White","Illinois ","3","3","4 Moderately","4 Moderately","A not very strong Democrat","3","Democrat",2,"Strongly disapprove",1,1,1,1,1,1,2,2,1,2,7,7,7,1,1,1,1,2,70,4,"Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","3","3","2","2","4 Moderate","4 Moderate","4 Moderate","2",9184,84,85,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,2,2,3,2,3,3,3,3,3,3,3,2,3,2.8,2.75,2.5,2.7625,96,4,6,4,4,4,2,5,3.5,100,100,100,100,100,100,66.6666666666667,66.6666666666667,100,66.6666666666667,100,100,100,100,100,100,100,66.6666666666667,100,86.6666666666667,91.6666666666667,83.3333333333333,87.0833333333333,72,42.8571428571429,71.4285714285714,42.8571428571429,42.8571428571429,42.8571428571429,14.2857142857143,57.1428571428571,35.7142857142857,0,0,0,0,0,0,0,0,59.7688659291819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","4",1,"10-important-swans-kissed-easily","Male","Graduate degree","30-34","Non-Hispanic White","Wisconsin ","6","7 Very interested","6","7 Very closely","Independent, lean toward Democrat","2","Democrat",1,"Strongly disapprove",1,1,1,1,1,2,2,3,3,1,6,7,5,1,3,1,3,4,82,10,"Strongly disagree","Disagree","Somewhat agree","Agree","1 Very comfortable","1 Very comfortable","1 Very comfortable","1 Very comfortable","7 Very uncomfortable","4 Moderate","4 Moderate","2",14758,91,87,615,57,63,16,58,64,18,0.655172413793103,0.724137931034483,0.183908045977011,0.666666666666667,0.735632183908046,0.206896551724138,0.00386231196639111,0.00426887112074807,0.00108415774495189,0.0039300718254506,0.00433663097980756,0.00121967746307088,3,3,3,3,3,2,2,1,1,3,2,3,1,3,1,3,1,0,3,2.4,1.25,1.5,2.0375,90,5,6,7,4,4,2,5.5,4.25,100,100,100,100,100,66.6666666666667,66.6666666666667,33.3333333333333,33.3333333333333,100,66.6666666666667,100,33.3333333333333,100,33.3333333333333,100,33.3333333333333,0,100,80,41.6666666666667,50,67.9166666666667,90,57.1428571428571,71.4285714285714,85.7142857142857,42.8571428571429,42.8571428571429,14.2857142857143,64.2857142857143,46.4285714285714,0.735632183908046,0.00433663097980756,0.206896551724138,0.00121967746307088,0.724137931034483,0.00426887112074807,0.183908045977011,0.00108415774495189,75.951188994579,49.7886292556565,53.8993630733094,42.5781244938793,49.1622020706348,54.0350671027268,36.3790890377499,13.7303062061155,16.7893558260324,5.89954203014489,13.4235600638395,16.9473637543435,4.41688857349676,2.85489588958544,0.84840742641419,1.09659000762801,1.84102823044293,0.861845115511315,0.449535850573786,16.9473637543435,0.861845115511315,4.41688857349676,0.449535850573786,16.7893558260324,0.84840742641419,6.74144864050421,2.21020526386359
"8","4",2,"10-important-swans-kissed-easily","Male","Graduate degree","30-34","Non-Hispanic White","Wisconsin ","6","7 Very interested","6","7 Very closely","Independent, lean toward Democrat","2","Democrat",1,"Strongly disapprove",1,1,1,1,1,1,1,1,1,1,6,7,6,1,1,1,4,1,85,0,"Disagree","Somewhat agree","Somewhat agree","Strongly agree","1 Very comfortable","1 Very comfortable","1 Very comfortable","1 Very comfortable","6","4 Moderate","4 Moderate","4 Moderate",5907,29,26,421,5,2,1,5,2,1,0.192307692307692,0.0769230769230769,0.0384615384615385,0.192307692307692,0.0769230769230769,0.0384615384615385,0.000846453360419841,0.000338581344167936,0.000169290672083968,0.000846453360419841,0.000338581344167936,0.000169290672083968,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,0,3,3,2.6,2.25,3,2.7125,100,5,7,6,4,4,4,6,4.5,100,100,100,100,100,100,100,100,100,100,66.6666666666667,100,66.6666666666667,100,100,100,0,100,100,80,75,100,85.4166666666667,76,57.1428571428571,85.7142857142857,71.4285714285714,42.8571428571429,42.8571428571429,42.8571428571429,71.4285714285714,50,0.0769230769230769,0.000338581344167936,0.0384615384615385,0.000169290672083968,0.0769230769230769,0.000338581344167936,0.0384615384615385,0.000169290672083968,66.7961200222444,25.4302623660769,14.5519094384222,10.6740599914052,23.3508063162658,14.5508952996599,9.10027021890772,6.30261709775699,2.39399496719658,1.39217838207168,4.92367436677068,2.3936063096632,1.19838915006706,0.935067832294382,0.125509498514883,0.252742831634855,0.481088195769051,0.121277536933214,0.252742831634855,2.35319072486217,0.121277536933214,2.39915080363924,0.311824931921558,2.39399496719658,0.125509498514883,3.43527269557499,0.932875143677774
"9","5",1,"10-large-robins-danced-quickly","Male","Some graduate school","18-24","Black or African American","Alabama ","7 Very interested","7 Very interested","6","6","Independent (lean toward neither party)","0 - Extreme left","Democrat",0,"Strongly disapprove",1,1,1,1,1,4,1,3,3,3,7,5,7,1,1,1,2,3,61,0,"Somewhat agree","Strongly agree","Strongly agree","Strongly agree","3","2","2","2","7 Very uncomfortable","7 Very uncomfortable","7 Very uncomfortable","7 Very uncomfortable",8461,91,87,530,11,6,3,11,7,3,0.126436781609195,0.0689655172413793,0.0344827586206897,0.126436781609195,0.0804597701149425,0.0344827586206897,0.00130008273253753,0.000709136035929559,0.00035456801796478,0.00130008273253753,0.000827325375251152,0.00035456801796478,3,3,3,3,3,0,3,1,1,1,3,1,3,3,3,3,2,1,3,2.2,2.25,1.25,2.175,100,7,7,7,7,7,7,7,7,100,100,100,100,100,0,100,33.3333333333333,33.3333333333333,33.3333333333333,100,33.3333333333333,100,100,100,100,66.6666666666667,33.3333333333333,100,73.3333333333333,75,41.6666666666667,72.5,100,85.7142857142857,85.7142857142857,85.7142857142857,85.7142857142857,85.7142857142857,85.7142857142857,85.7142857142857,85.7142857142857,0.0804597701149425,0.000827325375251152,0.0344827586206897,0.00035456801796478,0.0689655172413793,0.000709136035929559,0.0344827586206897,0.00035456801796478,73.0282397910005,30.4696053115054,25.2191070366042,20.8335224796098,29.9601130643514,26.9171871165841,17.1279236392898,3.24410530317328,2.05553397639381,1.18470915059999,3.12866151575246,2.37861300249745,0.796264819743904,0.962208309280762,0.141186236213046,0.358764696556297,0.609818793086071,0.164707548183406,0.130739441713726,2.37861300249745,0.164707548183406,0.796264819743904,0.130739441713726,2.05553397639381,0.141186236213046,1.3537755730692,0.72309944035724
"10","5",2,"10-large-robins-danced-quickly","Male","Some graduate school","18-24","Black or African American","Alabama ","7 Very interested","7 Very interested","6","6","Independent (lean toward neither party)","0 - Extreme left","Democrat",0,"Strongly disapprove",1,1,1,1,1,2,2,4,2,2,7,5,7,1,1,1,1,5,51,0,"Neither agree nor disagree","Strongly agree","Agree","Strongly agree","2","2","2","2","7 Very uncomfortable","7 Very uncomfortable","6","5",7314,89,84,345,1,9,0,1,9,0,0.0119047619047619,0.107142857142857,0,0.0119047619047619,0.107142857142857,0,0.000136724090784796,0.00123051681706317,0,0.000136724090784796,0.00123051681706317,0,3,3,3,3,3,2,2,0,2,2,3,1,3,3,3,3,3,1,3,2.4,2.5,1.5,2.35,100,6,7,7,7,6,5,6.5,6.25,100,100,100,100,100,66.6666666666667,66.6666666666667,0,66.6666666666667,66.6666666666667,100,33.3333333333333,100,100,100,100,100,33.3333333333333,100,73.3333333333333,83.3333333333333,50,73.3333333333333,76,71.4285714285714,85.7142857142857,85.7142857142857,85.7142857142857,71.4285714285714,57.1428571428571,78.5714285714286,75,0.107142857142857,0.00123051681706317,0,0,0.107142857142857,0.00123051681706317,0,0,62.6665018857128,9.83776838502778,30.4993946391517,0,9.03332497463749,30.4972691023992,0,0.424059198866527,3.28800331252179,0,0.331279748565955,3.28746951555283,0,0.151091203333176,0.455939866936403,0,0.0777357448280269,0.440566369127412,0,3.23196122145691,0.440566369127412,0,0,3.28800331252179,0.455939866936403,0,0
