"person_id","visits_u_w1","day_range_w1","active_days_w1","count_domains_w1","visits_u_w2","day_range_w2","active_days_w2","count_domains_w2","page_center_w1","page_left_w1","page_right_w1","page_center_w2","page_left_w2","page_right_w2","domain_center_w1","domain_left_w1","domain_right_w1","domain_center_w2","domain_left_w2","domain_right_w2","page_center_mean_w1","page_left_mean_w1","page_right_mean_w1","page_center_mean_w2","page_left_mean_w2","page_right_mean_w2","domain_center_mean_w1","domain_left_mean_w1","domain_right_mean_w1","domain_center_mean_w2","domain_left_mean_w2","domain_right_mean_w2","page_center_perc_w1","page_left_perc_w1","page_right_perc_w1","page_center_perc_w2","page_left_perc_w2","page_right_perc_w2","domain_center_perc_w1","domain_left_perc_w1","domain_right_perc_w1","domain_center_perc_w2","domain_left_perc_w2","domain_right_perc_w2"
"10-bitter-weasels-jumped-correctly",73381,91,91,276,55376,83,84,431,16,2,2,32,26,0,38,2,2,55,28,2,0.175824175824176,0.021978021978022,0.021978021978022,0.380952380952381,0.30952380952381,0,0.417582417582418,0.021978021978022,0.021978021978022,0.654761904761905,0.333333333333333,0.0238095238095238,0.000218040092121939,2.72550115152424e-05,2.72550115152424e-05,0.000577867668303958,0.000469517480496966,0,0.000517845218789605,2.72550115152424e-05,2.72550115152424e-05,0.000993210054897428,0.000505634209765964,3.61167292689974e-05
"10-early-hares-hopped-quickly",2554,15,15,183,7011,81,82,417,1,0,0,14,0,0,1,1,0,14,0,0,0.0666666666666667,0,0,0.170731707317073,0,0,0.0666666666666667,0.0666666666666667,0,0.170731707317073,0,0,0.000391542678151919,0,0,0.0019968620738839,0,0,0.000391542678151919,0.000391542678151919,0,0.0019968620738839,0,0
"10-hungry-frogs-loitered-carefully",12925,91,90,359,9184,84,85,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10-important-swans-kissed-easily",14758,91,87,615,5907,29,26,421,57,63,16,5,2,1,58,64,18,5,2,1,0.655172413793103,0.724137931034483,0.183908045977011,0.192307692307692,0.0769230769230769,0.0384615384615385,0.666666666666667,0.735632183908046,0.206896551724138,0.192307692307692,0.0769230769230769,0.0384615384615385,0.00386231196639111,0.00426887112074807,0.00108415774495189,0.000846453360419841,0.000338581344167936,0.000169290672083968,0.0039300718254506,0.00433663097980756,0.00121967746307088,0.000846453360419841,0.000338581344167936,0.000169290672083968
"10-large-robins-danced-quickly",8461,91,87,530,7314,89,84,345,11,6,3,1,9,0,11,7,3,1,9,0,0.126436781609195,0.0689655172413793,0.0344827586206897,0.0119047619047619,0.107142857142857,0,0.126436781609195,0.0804597701149425,0.0344827586206897,0.0119047619047619,0.107142857142857,0,0.00130008273253753,0.000709136035929559,0.00035456801796478,0.000136724090784796,0.00123051681706317,0,0.00130008273253753,0.000827325375251152,0.00035456801796478,0.000136724090784796,0.00123051681706317,0
"10-light-snails-walked-correctly",19290,91,92,1254,1320,89,16,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10-long-hares-whispered-patiently",4648,91,58,270,4331,86,85,242,8,27,0,9,6,19,8,27,0,9,8,19,0.137931034482759,0.46551724137931,0,0.105882352941176,0.0705882352941176,0.223529411764706,0.137931034482759,0.46551724137931,0,0.105882352941176,0.0941176470588235,0.223529411764706,0.00172117039586919,0.00580895008605852,0,0.00207804202262757,0.00138536134841838,0.00438697760332487,0.00172117039586919,0.00580895008605852,0,0.00207804202262757,0.00184714846455784,0.00438697760332487
"10-polite-goats-talked-easily",14516,90,84,630,19753,81,73,788,572,28,10,614,26,14,1679,32,10,1907,26,14,6.80952380952381,0.333333333333333,0.119047619047619,8.41095890410959,0.356164383561644,0.191780821917808,19.9880952380952,0.380952380952381,0.119047619047619,26.1232876712329,0.356164383561644,0.191780821917808,0.0394047947092863,0.00192890603472031,0.00068889501240011,0.0310838859920012,0.00131625575861894,0.000708753100794816,0.115665472581979,0.00220446403968035,0.00068889501240011,0.096542297372551,0.00131625575861894,0.000708753100794816
"10-safe-starlings-ran-carefully",6014,40,38,300,13841,90,83,547,44,32,6,125,112,83,49,36,6,138,119,87,1.15789473684211,0.842105263157895,0.157894736842105,1.50602409638554,1.34939759036145,1,1.28947368421053,0.947368421052632,0.157894736842105,1.66265060240964,1.43373493975904,1.04819277108434,0.00731626205520452,0.00532091785833056,0.00099767209843698,0.00903113936854274,0.00809190087421429,0.00599667654071238,0.00814765547056867,0.00598603259062188,0.00099767209843698,0.00997037786287118,0.00859764467885268,0.00628567300050574
"10-whole-trouts-played-loudly",7525,91,70,483,15699,87,76,643,9,16,5,25,14,2,9,16,5,25,31,2,0.128571428571429,0.228571428571429,0.0714285714285714,0.328947368421053,0.184210526315789,0.0263157894736842,0.128571428571429,0.228571428571429,0.0714285714285714,0.328947368421053,0.407894736842105,0.0263157894736842,0.00119601328903654,0.00212624584717608,0.000664451827242525,0.00159245811835149,0.000891776546276833,0.000127396649468119,0.00119601328903654,0.00212624584717608,0.000664451827242525,0.00159245811835149,0.00197464806675584,0.000127396649468119
