"","id","wave","person_id","gender_fac","edu_fac","age","ethn_fac","zip","party_fac","ideo","party_imp","partisan","party","approve_trump","att_econ_1","att_econ_2","att_econ_3","att_climate_1","att_climate_2","att_climate_3","att_immigrant_1","att_immigrant_2","att_immigrant_3","att_gun_1","att_gun_2","att_gun_3","ft_dem_supporters","ft_rep_supporters","understand_party_opp","stupid_party_opp","talk_party_opp","talk_ind_dem","talk_ind_rep","findout_party_opp","findout_ind_dem","findout_ind_rep","spendtime_party_opp","spendtime_ind_dem","spendtime_ind_rep","visits_u","day_range","active_days","count_domains","page_center","page_left","page_right","domain_center","domain_left","domain_right","page_center_mean","page_left_mean","page_right_mean","domain_center_mean","domain_left_mean","domain_right_mean","page_center_perc","page_left_perc","page_right_perc","domain_center_perc","domain_left_perc","domain_right_perc","att_econ_1_fold","att_econ_2_fold","att_econ_3_fold","att_climate_1_fold","att_climate_2_fold","att_climate_3_fold","att_immigrant_1_fold","att_immigrant_2_fold","att_immigrant_3_fold","att_gun_1_fold","att_gun_2_fold","att_gun_3_fold","att_econ_fold","att_climate_fold","att_gun_fold","att_immigrant_fold","att_extr","ap_sd_1","ap_sd_2","ap_sd_3","ap_ft","ap_under","ap_stupid","ap_sd","att_econ_1_fold_r","att_econ_2_fold_r","att_econ_3_fold_r","att_climate_1_fold_r","att_climate_2_fold_r","att_climate_3_fold_r","att_immigrant_1_fold_r","att_immigrant_2_fold_r","att_immigrant_3_fold_r","att_gun_1_fold_r","att_gun_2_fold_r","att_gun_3_fold_r","att_econ_fold_r","att_climate_fold_r","att_gun_fold_r","att_immigrant_fold_r","att_extr_r","ap_sd_1_r","ap_sd_2_r","ap_sd_3_r","ap_ft_r","ap_under_r","ap_stupid_r","ap_sd_r","domain_congenial_mean","domain_congenial_perc","domain_cross_mean","domain_cross_perc","page_congenial_mean","page_congenial_perc","page_cross_mean","page_cross_perc","count_domains_ln","page_center_ln","page_left_ln","page_right_ln","domain_center_ln","domain_left_ln","domain_right_ln","page_center_mean_ln","page_left_mean_ln","page_right_mean_ln","domain_center_mean_ln","domain_left_mean_ln","domain_right_mean_ln","page_center_perc_ln","page_left_perc_ln","page_right_perc_ln","domain_center_perc_ln","domain_left_perc_ln","domain_right_perc_ln","domain_congenial_mean_ln","domain_congenial_perc_ln","domain_cross_mean_ln","domain_cross_perc_ln","page_congenial_mean_ln","page_congenial_perc_ln","page_cross_mean_ln","page_cross_perc_ln","embed_imputed_party","findout_ind_party","spend_ind_party","talk_ind_party"
"1","1",1,2,"Female","Associate Degree",20,"White","28791","A not very strong Democrat",3,"Democrat",2,NA,1,3,5,7,4,1,5,4,6,3,1,1,4,81,11,4,6,1,NA,NA,1,NA,NA,1,NA,NA,14879,34,34,635,10,3,3,53,15,6,0.294117647058824,0.0882352941176471,0.0882352941176471,1.55882352941176,0.441176470588235,0.176470588235294,0.00067208817796895,0.000201626453390685,0.000201626453390685,0.00356206734323543,0.00100813226695342,0.00040325290678137,4,2,0,3,6,2,3,1,4,6,6,3,2,3.66666666666667,5,2.66666666666667,3.33333333333333,6,6,6,89,4,6,6,66.6666666666667,33.3333333333333,0,50,100,33.3333333333333,50,16.6666666666667,66.6666666666667,100,100,50,33.3333333333333,61.1111111111111,83.3333333333333,44.4444444444444,55.5555555555556,100,100,100,89,42.8571428571429,71.4285714285714,100,0.441176470588235,0.00100813226695342,0.176470588235294,0.00040325290678137,0.0882352941176471,0.000201626453390685,0.0882352941176471,0.000201626453390685,65.0591780611705,33.5818365910988,18.1120975069457,20.6472915000356,52.9825118565453,32.666505443067,23.4885527929684,9.30877116088209,2.24593137784825,3.39526975657247,28.3148219344822,7.96976195936787,4.1174850451587,0.40218258009542,0.2587616683233,0.602202066735743,2.12849521994427,0.798219246026035,0.138853407472452,7.96976195936787,0.347028609285457,5.082986816524,0.41893230981123,2.24593137784825,0.2587616683233,3.39526975657247,0.517026968961593,"Democrat",NA,NA,NA
"2","1",2,2,"Female","Associate Degree",20,"White","28791","A not very strong Democrat",3,"Democrat",2,2,1,3,6,9,3,1,3,6,4,5,1,1,1,85,30,2,6,1,NA,NA,1,NA,NA,1,NA,NA,25084,102,75,1246,25,3,0,129,6,6,0.333333333333333,0.04,0,1.72,0.08,0.08,0.000996651251793972,0.000119598150215277,0,0.0051427204592569,0.000239196300430553,0.000239196300430553,4,1,2,4,6,4,1,3,2,6,6,6,2.33333333333333,4.66666666666667,6,2,3.75,6,6,6,70,6,6,6,66.6666666666667,16.6666666666667,33.3333333333333,66.6666666666667,100,66.6666666666667,16.6666666666667,50,33.3333333333333,100,100,100,38.8888888888889,77.7777777777778,100,33.3333333333333,62.5,100,100,100,70,71.4285714285714,71.4285714285714,100,0.08,0.000239196300430553,0.08,0.000239196300430553,0.04,0.000119598150215277,0,0,87.0469189509351,40.9979650281144,16.876258331976,0,59.3600774254644,21.2477251854052,25.0201449547224,7.65658319163765,1.0758579347698,0,24.8415727190392,1.68281314179585,2.03497579856535,0.873657059410684,0.0777232366921644,0,3.44535350831603,0.155437179496123,0.11229188380147,1.68281314179585,0.11229188380147,2.03497579856535,0.211832874174494,1.0758579347698,0.0777232366921644,0,0,"Democrat",NA,NA,NA
"3","2",1,3,"Male","College Degree (such as B.A., B.S.)",64,"White","60634","A strong Democrat",1,"Democrat",3,1,1,3,5,3,3,1,3,5,5,4,3,3,4,78,1,3,6,2,NA,NA,2,NA,NA,1,NA,NA,45446,92,92,696,68,1,2,378,6,3,0.739130434782609,0.0108695652173913,0.0217391304347826,4.10869565217391,0.0652173913043478,0.0326086956521739,0.00149628130088457,2.20041367777142e-05,4.40082735554284e-05,0.00831756370197597,0.000132024820666285,6.60124103331426e-05,4,2,4,4,6,4,2,2,3,4,4,3,3.33333333333333,4.66666666666667,3.66666666666667,2.33333333333333,3.5,5,5,6,99,5,6,5,66.6666666666667,33.3333333333333,66.6666666666667,66.6666666666667,100,66.6666666666667,33.3333333333333,33.3333333333333,50,66.6666666666667,66.6666666666667,50,55.5555555555556,77.7777777777778,61.1111111111111,38.8888888888889,58.3333333333333,83.3333333333333,83.3333333333333,100,99,57.1428571428571,71.4285714285714,83.3333333333333,0.0652173913043478,0.000132024820666285,0.0326086956521739,6.60124103331426e-05,0.0108695652173913,2.20041367777142e-05,0.0217391304347826,4.40082735554284e-05,66.7564076411297,59.2974490419498,9.05604875347287,16.3625913845075,78.8635849911208,22.9266187105039,16.7335826392431,19.9796545860016,0.287149074350364,0.863548057340006,49.151200609222,1.3777735425252,0.812970868676319,0.89501731755652,0.028242020783488,0.131450815604089,4.95837225726974,0.104580429209313,0.0227341039965116,1.3777735425252,0.0454667074086063,1.00360296695152,0.0685906876331921,0.287149074350364,0.028242020783488,0.863548057340006,0.112858491382652,"Democrat",NA,NA,NA
"4","2",2,3,"Male","College Degree (such as B.A., B.S.)",64,"White","60634","A strong Democrat",1,"Democrat",3,1,1,2,5,6,3,1,2,3,5,3,3,4,5,73,2,2,5,2,NA,NA,3,NA,NA,2,NA,NA,50994,94,94,839,11,4,1,447,12,3,0.117021276595745,0.0425531914893617,0.0106382978723404,4.75531914893617,0.127659574468085,0.0319148936170213,0.000215711652351257,7.84406008550026e-05,1.96101502137506e-05,0.00876573714554653,0.000235321802565008,5.88304506412519e-05,5,2,1,4,6,5,4,2,4,4,3,2,2.66666666666667,5,3,3.33333333333333,3.5,5,4,5,98,6,5,4.33333333333333,83.3333333333333,33.3333333333333,16.6666666666667,66.6666666666667,100,83.3333333333333,66.6666666666667,33.3333333333333,66.6666666666667,66.6666666666667,50,33.3333333333333,44.4444444444444,83.3333333333333,50,55.5555555555556,58.3333333333333,83.3333333333333,66.6666666666667,83.3333333333333,98,71.4285714285714,57.1428571428571,72.2222222222222,0.127659574468085,0.000235321802565008,0.0319148936170213,5.88304506412519e-05,0.0425531914893617,7.84406008550026e-05,0.0106382978723404,1.96101502137506e-05,78.433919906483,31.2685995449364,19.592729178796,9.7412575425031,74.4485740432072,28.0071200041185,17.8247109107133,2.94533517420569,1.14311794664685,0.341846035499128,43.4483907665409,2.62704900941019,0.830695610066201,0.18916503832177,0.0509772335794825,0.0346666444726204,5.86201757986261,0.152919706722506,0.0276207359111391,2.62704900941019,0.110473195627348,0.830695610066201,0.0521051003580605,1.14311794664685,0.0509772335794825,0.341846035499128,0.0346666444726204,"Democrat",NA,NA,NA
"5","3",1,4,"Male","High school graduate",19,"White","46184","Independent, lean toward Democrat",9,"Democrat",1,NA,6,10,9,12,6,12,11,10,11,12,11,11,12,NA,NA,4,4,7,NA,NA,2,NA,NA,4,NA,NA,9674,90,82,798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,1,5,4,3,4,5,4,4,5,3.33333333333333,3.33333333333333,4.33333333333333,4,3.75,0,5,3,NA,4,4,3.33333333333333,50,33.3333333333333,83.3333333333333,16.6666666666667,83.3333333333333,66.6666666666667,50,66.6666666666667,83.3333333333333,66.6666666666667,66.6666666666667,83.3333333333333,55.5555555555556,55.5555555555556,72.2222222222222,66.6666666666667,62.5,0,83.3333333333333,50,NA,42.8571428571429,42.8571428571429,55.5555555555556,0,0,0,0,0,0,0,0,69.2873391497395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Democrat",3,5,6
"6","3",2,4,"Male","High school graduate",19,"White","46184","Independent, lean toward Democrat",9,"Democrat",1,1,6,12,4,10,4,12,12,4,10,11,4,8,11,52,35,3,4,6,NA,NA,4,NA,NA,3,NA,NA,576,58,15,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,3,5,5,3,3,4,3,1,4,3.66666666666667,4.33333333333333,2.66666666666667,3.33333333333333,3.5,1,3,4,65,5,4,2.33333333333333,83.3333333333333,50,50,50,83.3333333333333,83.3333333333333,50,50,66.6666666666667,50,16.6666666666667,66.6666666666667,61.1111111111111,72.2222222222222,44.4444444444444,55.5555555555556,58.3333333333333,16.6666666666667,50,66.6666666666667,65,57.1428571428571,42.8571428571429,38.8888888888889,0,0,0,0,0,0,0,0,36.0133314633151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Democrat",3,5,6
"7","4",1,5,"Female","College Degree (such as B.A., B.S.)",78,"White","97216","Independent, lean toward Democrat",5,"Democrat",1,NA,1,2,1,11,1,1,1,3,8,3,1,1,1,99,3,1,6,1,NA,NA,1,NA,NA,1,NA,NA,11090,89,68,483,68,5,0,69,6,1,1,0.0735294117647059,0,1.01470588235294,0.0882352941176471,0.0147058823529412,0.00613165013525699,0.000450856627592426,0,0.00622182146077547,0.000541027953110911,9.01713255184851e-05,5,6,4,6,6,6,4,1,4,6,6,6,5,6,6,3,5,6,6,6,97,7,6,6,83.3333333333333,100,66.6666666666667,100,100,100,66.6666666666667,16.6666666666667,66.6666666666667,100,100,100,83.3333333333333,100,100,50,83.3333333333333,100,100,100,97,85.7142857142857,71.4285714285714,100,0.0882352941176471,0.000541027953110911,0.0147058823529412,9.01713255184851e-05,0.0735294117647059,0.000450856627592426,0,0,59.998008365215,59.2974490419498,23.4095464324299,0,56.4293932757722,22.9266187105039,8.36679131962156,25.0256788386252,1.88455123613884,0,21.1099199641227,1.84398476485066,0.369866688635126,3.65925087877175,0.578544520718225,0,3.71289684642835,0.428475257920328,0.0310538506441857,1.84398476485066,0.186281117136167,0.456596072987381,0.0936920570817297,1.88455123613884,0.578544520718225,0,0,"Democrat",NA,NA,NA
"8","4",2,5,"Female","College Degree (such as B.A., B.S.)",78,"White","97216","Independent, lean toward Democrat",5,"Democrat",1,3,1,4,3,9,1,1,1,3,5,3,1,1,1,97,11,1,5,6,NA,NA,6,NA,NA,6,NA,NA,17794,89,84,480,83,5,1,85,5,1,0.988095238095238,0.0595238095238095,0.0119047619047619,1.01190476190476,0.0595238095238095,0.0119047619047619,0.00466449364954479,0.000280993593346072,5.61987186692143e-05,0.00477689108688322,0.000280993593346072,5.61987186692143e-05,3,4,2,6,6,6,4,2,4,6,6,6,3,6,6,3.33333333333333,4.58333333333333,1,1,1,89,7,5,1,50,66.6666666666667,33.3333333333333,100,100,100,66.6666666666667,33.3333333333333,66.6666666666667,100,100,100,50,100,100,55.5555555555556,76.3888888888889,16.6666666666667,16.6666666666667,16.6666666666667,89,85.7142857142857,57.1428571428571,16.6666666666667,0.0595238095238095,0.000280993593346072,0.0119047619047619,5.61987186692143e-05,0.0595238095238095,0.000280993593346072,0.0119047619047619,5.61987186692143e-05,66.2797375857961,55.7547850547337,21.8122474703205,9.7412575425031,54.3212180780289,19.5645275908487,8.91235545535664,18.2890366680324,1.5860406179413,0.382302081990013,17.3553277650086,1.26426997748914,0.31292241561805,4.08138619779378,0.182594542423314,0.099345764251402,3.20084999865339,0.182594542423314,0.0263851796551141,1.26426997748914,0.131911073058893,0.31292241561805,0.0497742869095945,1.5860406179413,0.182594542423314,0.382302081990013,0.099345764251402,"Democrat",NA,NA,NA
"9","5",1,6,"Female","Master's degree",43,"White","43221","A not very strong Democrat",3,"Democrat",2,NA,1,4,6,12,2,1,1,1,2,1,1,1,3,96,31,5,3,3,NA,NA,5,NA,NA,4,NA,NA,7840,32,22,324,6,7,1,19,13,3,0.272727272727273,0.318181818181818,0.0454545454545455,0.863636363636364,0.590909090909091,0.136363636363636,0.00076530612244898,0.000892857142857143,0.000127551020408163,0.0024234693877551,0.00165816326530612,0.00038265306122449,3,1,5,5,6,6,6,5,6,6,6,4,3,5.66666666666667,5.33333333333333,5.66666666666667,4.91666666666667,4,2,3,69,3,3,2.66666666666667,50,16.6666666666667,83.3333333333333,83.3333333333333,100,100,100,83.3333333333333,100,100,100,66.6666666666667,50,94.4444444444445,88.8888888888889,94.4444444444445,81.9444444444445,66.6666666666667,33.3333333333333,50,69,28.5714285714286,28.5714285714286,44.4444444444444,0.590909090909091,0.00165816326530612,0.136363636363636,0.00038265306122449,0.318181818181818,0.000892857142857143,0.0454545454545455,0.000127551020408163,52.6177108249668,27.2519143716711,27.1681462604186,10.3236457500178,39.7899361967409,31.0932450712706,16.7335826392431,8.70701685187015,7.33757441277389,1.7848910497685,18.7609603416355,10.1253419434422,3.2387119278396,0.457943561563874,1.14547173821695,0.380973485358553,1.44895440695271,1.31247479974626,0.131761551184,10.1253419434422,0.570603010069865,3.99815174825806,0.397535587974496,7.33757441277389,1.14547173821695,1.7848910497685,0.327088824947693,"Democrat",NA,NA,NA
"10","5",2,6,"Female","Master's degree",43,"White","43221","A not very strong Democrat",3,"Democrat",2,2,1,2,3,12,2,1,2,2,3,1,1,1,4,96,37,3,2,4,NA,NA,4,NA,NA,4,NA,NA,9002,98,58,501,7,3,2,11,11,23,0.120689655172414,0.0517241379310345,0.0344827586206897,0.189655172413793,0.189655172413793,0.396551724137931,0.000777604976671851,0.000333259275716507,0.000222172850477672,0.00122195067762719,0.00122195067762719,0.00255498778049322,5,4,5,5,6,5,5,4,6,6,6,3,4.66666666666667,5.33333333333333,5,5,5,3,3,3,63,5,2,3,83.3333333333333,66.6666666666667,83.3333333333333,83.3333333333333,100,83.3333333333333,83.3333333333333,66.6666666666667,100,100,100,50,77.7777777777778,88.8888888888889,83.3333333333333,83.3333333333333,83.3333333333333,50,50,50,63,57.1428571428571,14.2857142857143,50,0.189655172413793,0.00122195067762719,0.396551724137931,0.00255498778049322,0.0517241379310345,0.000333259275716507,0.0344827586206897,0.000222172850477672,67.2113081550591,26.1664657903504,16.876258331976,15.4395279147345,30.303689193748,27.1331200115862,40.8628155559078,3.0325966907898,1.38336174101839,1.09516077330231,4.31135005890366,3.79728763702691,8.8316687227027,0.681717331747829,0.216552037513856,0.392715363496361,0.820245168949118,0.793671623065209,1.1980652002291,3.79728763702691,0.573369138340453,8.8316687227027,2.2600884963482,1.38336174101839,0.216552037513856,1.09516077330231,0.392715363496361,"Democrat",NA,NA,NA
